StudyHours,Attendance,SleepHours,PreviousMarks,Performance
12,67,10,91,Excellent
9,65,6,56,Excellent
9,80,10,40,Excellent
1,61,10,59,Average
7,70,9,74,Excellent
12,44,5,60,Excellent
2,92,6,73,Excellent
7,49,8,83,Excellent
8,93,7,63,Excellent
3,85,7,78,Excellent
12,75,5,90,Excellent
8,89,5,71,Excellent
11,52,4,69,Excellent
6,57,9,59,Good
9,65,5,89,Excellent
6,73,5,95,Excellent
7,66,8,41,Good
7,49,10,87,Excellent
6,62,5,70,Good
3,85,10,38,Good
7,62,10,36,Good
12,45,10,92,Excellent
7,58,6,64,Good
4,52,8,63,Good
4,51,9,67,Good
5,53,8,55,Good
8,89,7,45,Excellent
7,77,10,47,Excellent
10,66,5,65,Excellent
3,48,4,92,Good
2,49,10,43,Average
5,55,4,68,Average
9,52,5,93,Excellent
10,72,10,90,Excellent
3,50,4,91,Good
4,58,9,56,Good
8,99,5,90,Excellent
6,73,9,41,Good
2,86,10,54,Good
10,100,9,44,Excellent
8,85,9,42,Excellent
5,70,9,72,Excellent
3,94,5,71,Good
12,91,6,38,Excellent
10,97,6,60,Excellent
7,86,4,44,Good
8,86,6,57,Excellent
6,70,6,89,Excellent
3,42,4,53,Average
2,47,6,53,Average
11,83,4,39,Good
5,87,4,40,Average
12,71,7,51,Excellent
5,42,5,43,Average
1,52,8,69,Good
8,97,4,60,Excellent
3,77,4,65,Good
6,83,8,77,Excellent
5,58,4,84,Excellent
6,92,10,57,Excellent
11,53,10,42,Excellent
5,96,10,40,Good
7,98,6,54,Excellent
8,41,10,82,Excellent
1,78,6,52,Average
8,57,8,85,Excellent
2,44,9,54,Average
11,43,10,90,Excellent
12,75,6,40,Excellent
3,82,6,94,Excellent
8,50,10,83,Excellent
5,58,10,79,Excellent
11,65,8,69,Excellent
8,49,4,73,Good
7,49,5,41,Average
3,41,5,93,Good
4,71,4,89,Good
3,47,8,67,Good
5,78,7,51,Good
4,56,10,79,Excellent
9,48,6,84,Excellent
2,70,7,39,Average
7,48,6,83,Excellent
10,63,9,40,Excellent
